percent,average-flow(L/min)-Fluke,std_dev-Fluke,average-flow(L/min)-Sensirion,std_dev-Sensirion
0,-0.00538,0.010356428,0.027115385,0.008844063
10,30.79568,0.220887613,27.98185897,0.278657046
20,54.66474,0.893222107,49.81313725,0.538031355
30,75.79554,0.722839891,71.49141593,0.855896639
40,94.53316,0.860254389,88.08349206,1.639698151
50,113.4101,0.994574175,108.8066187,1.84454103
60,132.4039,1.295995135,125.3640541,2.007689218
70,149.86704,1.660392857,139.4204348,2.427043027
80,165.25638,2.063677081,153.8321951,2.610910515
90,178.85758,2.419308898,166.2909821,2.443631285
100,183.12862,2.519267254,169.8576812,2.423168602
